species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Fridericia monochaeta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,2,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350260 
Fridericia monopera,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia montafonensis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia nemoralis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,12,15,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349698 
Fridericia nix,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350272 
Fridericia oligosetosa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia orghidani,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia paranemoralis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia parasitica,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia parathalassia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,21,22,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350261 
Fridericia paroniana,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,7,21,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349699 
Fridericia perrieri,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,9,19,5,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349700 
Fridericia polychaeta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia popi,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia pretoriana,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,16,16,4,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350262 
Fridericia profundicola,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia pyrenaica,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia ratzeli,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,38,39,10,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349701 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349692 
Fridericia reducata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia regularis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349702 
Fridericia rendsinata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1158447 
Fridericia sardorum,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,1,2,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=655938 
Fridericia schmelzi,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,6,13,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349704 
Fridericia semisetosa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,13,13,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349703 
Fridericia simeani,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia singula,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia stephensoni,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia strenua,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia striata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,WORMS,gap,
Fridericia sylvatica,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,7,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350274 
Fridericia terrarossae,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia tirolensis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia tridiverticula,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia tuberosa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,12,15,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=32993 
Fridericia tubulosa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349705 
Fridericia ulrikae,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia viridula,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia vixdiverticulata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Fridericia waldenstroemi,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349707 
Globulidrilus riparius,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,40,53,16,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=768124 
Grania atlantica,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Grania macrochaeta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,WORMS,gap,
Grania maricola,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,22,23,2,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=655954 
Grania mira,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Grania occulta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=651244 
Grania ovitheca,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,17,19,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=651245 
Grania postclitellochaeta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,32,39,2,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=651246 
Grania pusilla,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,26,30,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=651247 
Grania roscoffensis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,WORMS,gap,
Grania variochaeta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,19,23,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=651248 
Grania vikinga,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994549 
Guaranidrilus europeus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Hemienchytraeus bifurcatus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Hemifridericia bivesiculata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,2,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=683303 
Hemifridericia parva,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,26,41,4,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349709 
Hemifridericia parva CEA,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,14,14,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994538 
Hemifridericia parva CEB,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,19,19,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994531 
Henlea andreae,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Henlea glandulifera,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,11,14,4,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349711 
Henlea glandulifera CEA,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,20,20,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994537 
Henlea glandulifera CEB,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,12,12,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994532 
Henlea groenlandica,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,0,11,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349712 
Henlea gubleri,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Henlea heleotropha,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,3,3,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349713 
Henlea jutlandica,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Henlea montana,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,10,10,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742109 
Henlea nasuta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE:WORMS,5,11,3,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=302618 
Henlea perpusilla,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE:WORMS,42,45,10,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349714 
Henlea pertosericus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Henlea puteana,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,FE,gap,
Henlea similis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,3,3,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1158543 
Henlea ventriculosa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,10,16,5,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349717 
Lumbricillus algensis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus arenarius,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE:WORMS,6,10,2,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=652045 
Lumbricillus balticus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus brunoi,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE:WORMS,,,,,gap,
Lumbricillus buelowi,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,4,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=652046 
Lumbricillus cervisiae,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus christenseni,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus crymodes,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,40,40,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=891937 
Lumbricillus dubius,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,5,7,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742111 
Lumbricillus eltoni,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,WORMS,gap,
Lumbricillus enteromorphae,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,,,,WORMS,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742222 
Lumbricillus fennicus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE:WORMS,1,2,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=891939 
Lumbricillus helgolandicus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,WORMS,gap,
Lumbricillus horridus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus immoderatus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus kaloensis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE:WORMS,8,11,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=652047 
Lumbricillus knoellneri,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,1,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742113 
Lumbricillus latithecatus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=891809 
Lumbricillus lineatus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE:WORMS,22,34,2,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=477034 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742126 
Lumbricillus macrothecatus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus minutus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,WORMS,gap,
Lumbricillus murmanicus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus muscicolus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,WORMS,gap,
Lumbricillus nielseni,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,7,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349719 
Lumbricillus niger,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus pagenstecheri,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE:WORMS,7,7,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=477035 
Lumbricillus pagenstecheri A,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742221 
Lumbricillus pagenstecheri B,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=891938 
Lumbricillus pagenstecheri C,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742125 
Lumbricillus pagenstecheri D,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=891941 
Lumbricillus pseudominutus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus pumilio,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus reynoldsoni,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus rivalis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE:WORMS,49,52,2,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=477036 
Lumbricillus rutilus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,2,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=891942 
Lumbricillus scandicus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,5,6,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=891940 
Lumbricillus scoticus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Lumbricillus tuba,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,3,6,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=652048 
Lumbricillus viridis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,9,10,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=477037 
Marionina achaeta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,WORMS,gap,
Marionina aporus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,16,16,3,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349721 
Marionina appendiculata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Marionina arenaria,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Marionina argentea,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE:WORMS,6,23,4,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349722 
Marionina argentea CEB,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,11,11,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994536 
Marionina argentea CEC,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,20,20,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994511 
Marionina argentea CEE,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,5,5,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994518 
Marionina argentea CEG,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,13,13,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994508 
Marionina argentea CEH,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,8,8,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994509 
Marionina argentea CEI,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,16,16,4,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994517 
Marionina brendae,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,3,4,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349723 
Marionina clavata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,9,12,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350249 
Marionina communis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,25,29,5,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349724 
Marionina crymodes,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,FE,gap,
Marionina deminuta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,13,13,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994526 
Marionina eleonorae,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Marionina elongata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Marionina filiformis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,1,5,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=652151 
Marionina glandulifera,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,WORMS,gap,
Marionina graefei,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Marionina hoffbaueri,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350271 
Marionina istriae,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Marionina libra,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Marionina macgrathi,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Marionina magnaglandulosa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Marionina mendax CEA,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,10,10,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994544 
Marionina mendax CEC,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,11,11,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994510 
Marionina mendax CED,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,7,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994545 
Marionina mendax CEE,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,,,,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994512 
Marionina mesopsamma,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Marionina mimula,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,8,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742220 
Marionina minutissima,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Marionina nothachaeta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,4,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=671139 
Marionina oligosetosa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Marionina preclitellochaeta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE:WORMS,,,,,gap,
Marionina riparia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Marionina rubens,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Marionina scintillans,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,0,3,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349731 
Marionina serbui,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Marionina simillima,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Marionina sjaelandica,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,7,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742129 
Marionina southerni,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,24,25,2,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350255 
Marionina spicula,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:WORMS,8,12,4,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=707982 
Marionina sublitoralis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Marionina subterranea,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE:WORMS,,,,WORMS,gap,
Marionina ulstrupae,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Marionina vesiculata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,4,6,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1136051 
Marionina weilli,Annelida,Clitellata,Enchytraeida,Enchytraeidae,WORMS,,,,,gap,
Mesenchytraeus argentatus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus armatus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,2,7,2,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=652235 
Mesenchytraeus armatus B,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742107 
Mesenchytraeus armatus CEA,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,35,35,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994507 
Mesenchytraeus armatus CEC,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,8,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=994521 
Mesenchytraeus beumeri,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,5,5,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742112 
Mesenchytraeus celticus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus eltoni,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus falciformis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus flavidus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus flavus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,20,25,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=354233 
Mesenchytraeus gaudens,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus glandulosus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,5,5,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=742131 
Mesenchytraeus kuehnelti,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus lusitanicus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus melanocephalus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD,7,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=349727 
Mesenchytraeus monochaetus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus oglobini,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus pelicensis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,9,15,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=302616 
Mesenchytraeus primaevus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus sanguineus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus straminicolus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=652236 
Mesenchytraeus tetrapodus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Mesenchytraeus vivii,Annelida,Clitellata,Enchytraeida,Enchytraeidae,FE,,,,,gap,
Oconnorella cambrensis,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,17,18,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350252 
Oconnorella tubifera,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,14,16,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350253 
Stercutus niveus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,BOLD:FE,25,31,7,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350240 
