species,Order,Family,source,specimens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Aceria chloranthes,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria chondrillae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,2,2,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1145881 ,
Aceria ciansensis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria cichorii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria cirsii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria cisticola,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria convolvuli,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria cornuta,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria craspedophyes,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria cretica,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria curta,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria cuscutae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria cytisi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria daigluni,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria dalmatina,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria deminuta,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria desertorum,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria destructor,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria dianthi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria diasi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria dispar,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria dissecti,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria distincta,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria diversicoloris,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria dolichosoma,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria drabae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria ecantyx,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria echii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria effusa,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria eleagnicola,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria empetri,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria enantha,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria erinea,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria erodii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria eryngii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria euaspis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria eucricotes,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria eupatorii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria euphrasiae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria eutricha,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria exigua,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria eximia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=105589 ,
Aceria fennica,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria ficus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria forsythiae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria fraxini,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria fraxinivora,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria fusiformis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria galiobia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria genistae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,10,10,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=781035 ,
Aceria georghioui,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria geranii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria granati,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria grandipennis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria grandis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria granulata,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria gymnoprocta,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria gypsophilae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria heimi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria heteronyx,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria hippophaena,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria horrida,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria hulli,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria hypochoerina,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria ilicis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria intercedens,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria inturbida,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria inulae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria italici,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria iteina,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria jaapi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria jourdani,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria jovanovici,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria kiefferi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria labiatiflorae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria lamii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria lappae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria laticincta,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria leioprocta,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria leonuri,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria ligustri,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria lineata,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
