species,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Euryhapsis annuliventris,Diptera,Chironomidae,FE:SyDip,,,,ITIS,gap,
Euryhapsis cilium,Diptera,Chironomidae,FE:SyDip,5,5,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=297383
Euryhapsis fuscipropes,Diptera,Chironomidae,FE:SyDip,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1143202
Euryhapsis subviridis,Diptera,Chironomidae,FE:SyDip,6,6,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=936640
Fleuria lacustris,Diptera,Chironomidae,BOLD:FE:SyDip,7,7,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=510054
Georthocladius luteicornis,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Georthocladius meluensis,Diptera,Chironomidae,ES:SyDip,,,,ES,gap,
Georthocladius platystylus ,Diptera,Chironomidae,ES,,,,ES,gap,
Georthocladius retezati,Diptera,Chironomidae,FE,,,,,gap,
Georthocladius techensis,Diptera,Chironomidae,ES:SyDip,,,,ES,gap,
Gillotia alboviridis,Diptera,Chironomidae,FE:SyDip,,,,ITIS,gap,
Glyptotendipes (Phytotendipes) barbipes,Diptera,Chironomidae,BOLD:FE:SyDip,13,14,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=237179
Glyptotendipes (Phytotendipes) lobiferus,Diptera,Chironomidae,BOLD:SyDip,18,18,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=105974
Glyptotendipes (Phytotendipes) paripes,Diptera,Chironomidae,BOLD:FE:SyDip,11,15,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=296265
Glyptotendipes aequalis,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731438
Glyptotendipes caulicola,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Glyptotendipes cauliginellus,Diptera,Chironomidae,BOLD:FE:SyDip,27,31,3,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380614
Glyptotendipes foliicola,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Glyptotendipes glaucus,Diptera,Chironomidae,BOLD:FE:SyDip,5,17,1,ES,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1068140
Glyptotendipes imbecilis,Diptera,Chironomidae,BOLD:FE:SyDip,14,16,2,ES,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1068138
Glyptotendipes nagorskayae,Diptera,Chironomidae,ES,,,,ES,gap,
Glyptotendipes ospeli,Diptera,Chironomidae,BOLD:FE:SyDip,0,3,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728760
Glyptotendipes pallens,Diptera,Chironomidae,BOLD:FE:SyDip,83,94,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=296269
Glyptotendipes salinus,Diptera,Chironomidae,BOLD:FE:SyDip,0,13,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=296402
Glyptotendipes scirpi,Diptera,Chironomidae,BOLD:FE,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=969369
Glyptotendipes signatus,Diptera,Chironomidae,BOLD:FE:SyDip,12,13,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731452
Glyptotendipes viridis,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Graceus ambiguus,Diptera,Chironomidae,BOLD:FE:SyDip,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728745
Guttipelopia guttipennis,Diptera,Chironomidae,BOLD:FE:SyDip,31,42,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380618
Gymnometriocnemus (Gymnometriocnemus) pallidus,Diptera,Chironomidae,BOLD:SyDip,194,198,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=707637
Gymnometriocnemus (Gymnometriocnemus) subnudus,Diptera,Chironomidae,BOLD:FE:SyDip,218,227,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=257400
Gymnometriocnemus (Raphidocladius) brumalis,Diptera,Chironomidae,BOLD:FE:SyDip,4092,4100,8,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=95105
Gymnometriocnemus (Raphiocladius) autumnalis,Diptera,Chironomidae,BOLD:SyDip,4,5,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=707639
Gymnometriocnemus brevitarsis,Diptera,Chironomidae,BOLD:FE:SyDip,19,19,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=707640
Gymnometriocnemus kamimegavirgus,Diptera,Chironomidae,BOLD:FE:SyDip,372,374,2,ES,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=647523
Gymnometriocnemus subnudus,Diptera,Chironomidae,BOLD,1,1,1,ITIS,
Gymnometriocnemus terrestris,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Halocladius (Halocladius) fucicola,Diptera,Chironomidae,BOLD:FE:WORMS:SyDip,4,4,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=237188
Halocladius (Halocladius) mediterraneus,Diptera,Chironomidae,FE:WORMS:SyDip,,,,SyDip,gap,
Halocladius (Halocladius) millenarius,Diptera,Chironomidae,FE:WORMS:SyDip,,,,SyDip,gap,
Halocladius (Halocladius) variabilis,Diptera,Chironomidae,BOLD:FE:WORMS:SyDip,4130,4137,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=102865
Halocladius (Halocladius) varians,Diptera,Chironomidae,BOLD:FE:WORMS:SyDip,34,37,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=237191
Halocladius (Psammocladius) braunsi,Diptera,Chironomidae,FE:WORMS:SyDip,,,,SyDip,gap,
Harnischia angularis,Diptera,Chironomidae,FE:SyDip,3,3,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=878844
Harnischia curtilamellata,Diptera,Chironomidae,BOLD:FE:SyDip,14,17,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380640
Harnischia fuscimana,Diptera,Chironomidae,BOLD:SyDip,14,15,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380629
Harnischia fuscimanus,Diptera,Chironomidae,FE,,,,FE,gap,
Hayesomyia tripunctata,Diptera,Chironomidae,FE,,,,FE,gap,
Heleniella dorieri,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Heleniella extrema,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Heleniella ornaticollis,Diptera,Chironomidae,BOLD:FE:SyDip,51,55,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56417
Heleniella serratosioi,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Heterotanytarsus apicalis,Diptera,Chironomidae,BOLD:FE:SyDip,39,43,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=74203
Heterotanytarsus brundini,Diptera,Chironomidae,BOLD:FE:SyDip,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751164
Heterotrissocladius brundini,Diptera,Chironomidae,BOLD:FE:SyDip,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=781611
Heterotrissocladius changi,Diptera,Chironomidae,FE:SyDip,762,763,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=399394
Heterotrissocladius grimshawi,Diptera,Chironomidae,BOLD:FE,13,15,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141706
Heterotrissocladius maeaeri,Diptera,Chironomidae,BOLD:FE:SyDip,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=753738
Heterotrissocladius marcidus,Diptera,Chironomidae,BOLD:FE:SyDip,73,76,3,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=257383
Heterotrissocladius scutellatus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Heterotrissocladius subpilosus,Diptera,Chironomidae,BOLD:FE:SyDip,2566,2573,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141641https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=739546
Heterotrissocladius zierli,Diptera,Chironomidae,BOLD:FE:SyDip,7,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56419
Hydrobaenus conformis,Diptera,Chironomidae,BOLD:FE:SyDip,145,145,5,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56495
Hydrobaenus cranstoni,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Hydrobaenus distylus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Hydrobaenus fusistylus,Diptera,Chironomidae,BOLD:FE:SyDip,850,852,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=297376
Hydrobaenus korneyevi,Diptera,Chironomidae,BOLD:SyDip,8,8,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=716319
Hydrobaenus lapponicus,Diptera,Chironomidae,BOLD:FE:SyDip,2,2,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371364
Hydrobaenus lugubris,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Hydrobaenus lunzensis,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Hydrobaenus martini,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Hydrobaenus paucisaeta,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Hydrobaenus pilipes,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731462
Hydrobaenus rufus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Hydrobaenus sikhotealinensis,Diptera,Chironomidae,BOLD:SyDip,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=936593
Hydrobaenus spinnatis,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Hydrosmittia oxoniana,Diptera,Chironomidae,BOLD,44,45,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=377936
Hydrosmittia ruttneri,Diptera,Chironomidae,BOLD,7,10,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=377929
Kiefferulus tendipediformis,Diptera,Chironomidae,BOLD:FE:SyDip,124,132,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=387733
Kloosia pusilla,Diptera,Chironomidae,FE,,,,FE,gap,
Krenopelopia binotata,Diptera,Chironomidae,BOLD:FE:SyDip,11,12,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731413
Krenopelopia nigropunctata,Diptera,Chironomidae,BOLD:FE:SyDip,2,2,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1068053
Krenopsectra acuta,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350953
Krenosmittia boreoalpina,Diptera,Chironomidae,BOLD:FE:SyDip,23,27,3,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56445
Krenosmittia camptophleps,Diptera,Chironomidae,BOLD:FE:SyDip,6,6,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=257396
Krenosmittia halvorseni,Diptera,Chironomidae,BOLD:FE:SyDip,51,52,5,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=272802
Krenosmittia hispanica,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Labrundinia longipalpis,Diptera,Chironomidae,BOLD:FE:SyDip,2,4,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731455
Lappodiamesa vidua,Diptera,Chironomidae,FE:SyDip,,,,FE,gap,
Lappokiefferiella platytarsus,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Lapposmittia parvibarba,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Larsia atrocincta,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731454
Larsia curticalcar,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Lasiodiamesa armata,Diptera,Chironomidae,BOLD:FE:SyDip,5,5,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751168
Lasiodiamesa bipectinata,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Lasiodiamesa gracilis,Diptera,Chironomidae,BOLD:FE:SyDip,2,2,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731423
Lasiodiamesa sphagnicola,Diptera,Chironomidae,BOLD:FE:SyDip,46,50,4,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=296256
Lauterborniella agrayloides,Diptera,Chironomidae,BOLD:FE:SyDip,250,251,3,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=396903
Limnophyes aagaardi,Diptera,Chironomidae,BOLD:FE:SyDip,32,32,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=68656
Limnophyes anderseni,Diptera,Chironomidae,BOLD:SyDip,16,17,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=479163
Limnophyes angelicae,Diptera,Chironomidae,BOLD:FE:SyDip,10,10,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731437
Limnophyes asquamatus,Diptera,Chironomidae,BOLD:FE:SyDip,9855,9864,3,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=68676
Limnophyes axillapilosis,Diptera,Chironomidae,BOLD,4,4,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1130623
Limnophyes bidumus,Diptera,Chironomidae,BOLD:FE:SyDip,82,89,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=74209
Limnophyes brachytomus,Diptera,Chironomidae,BOLD:FE:SyDip,2035,2039,7,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=68657
Limnophyes cranstoni,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Limnophyes edwardsi,Diptera,Chironomidae,BOLD:FE:SyDip,68,69,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141688
Limnophyes eltoni,Diptera,Chironomidae,BOLD:FE:SyDip,119,120,3,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=181551https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=74208
Limnophyes er,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Limnophyes gurgicola,Diptera,Chironomidae,BOLD:FE:SyDip,11,14,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=749673
Limnophyes habilis,Diptera,Chironomidae,BOLD:FE:SyDip,911,913,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=257390
Limnophyes inanispatina,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Limnophyes madeirae,Diptera,Chironomidae,BOLD:FE:SyDip,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=377925
Limnophyes margaretae,Diptera,Chironomidae,BOLD:SyDip,4,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731414
Limnophyes minimus,Diptera,Chironomidae,BOLD:FE:SyDip,4121,4164,15,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=74218
Limnophyes natalensis,Diptera,Chironomidae,BOLD:FE:SyDip,1461,1499,6,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=68658
Limnophyes ninae,Diptera,Chironomidae,BOLD:FE:SyDip,939,949,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371356
Limnophyes paludis,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Limnophyes pentaplastus,Diptera,Chironomidae,BOLD:FE:SyDip,219,222,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=74210
Limnophyes platystylus,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Limnophyes prolatus,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Limnophyes pumilio,Diptera,Chironomidae,BOLD:FE:SyDip,608,614,11,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56480
Limnophyes punctipennis,Diptera,Chironomidae,FE,,,,FE,gap,
Limnophyes roquehautensis,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Limnophyes schnelli,Diptera,Chironomidae,BOLD:FE:SyDip,1201,1205,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=95080
Limnophyes spinigus,Diptera,Chironomidae,BOLD:FE:SyDip,11,11,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=709060
Limnophyes torulus,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Limnophyes tyrrheneus,Diptera,Chironomidae,ES,,,,ES,gap,
Limnophyes vrangelensis,Diptera,Chironomidae,BOLD:SyDip,8,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=348430
Lipiniella araenicola,Diptera,Chironomidae,FE:SyDip,,,,FE,gap,
Lipiniella moderata,Diptera,Chironomidae,BOLD:FE:SyDip,17,19,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=651988
Lipiniella prima,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Lithotanytarsus dadesi,Diptera,Chironomidae,BOLD:FE:SyDip,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=366760
Lithotanytarsus emarginatus,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=366776
Macropelopia adaucta,Diptera,Chironomidae,BOLD:FE:SyDip,2,4,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56456
Macropelopia fehlmanni,Diptera,Chironomidae,FE,,,,FE,gap,
Macropelopia fittkaui,Diptera,Chironomidae,BOLD:FE:SyDip,3,4,1,ES,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1141611
Macropelopia johnseni,Diptera,Chironomidae,BOLD,7,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=802718
Macropelopia nebulosa,Diptera,Chironomidae,BOLD:FE:SyDip,66,73,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=95113
Macropelopia notata,Diptera,Chironomidae,BOLD:FE:SyDip,33,38,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=74197
Macropelopia rossaroi,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Mesocricotopus thienemanni,Diptera,Chironomidae,BOLD:FE:SyDip,55,56,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=659014
Mesosmittia flexuella,Diptera,Chironomidae,BOLD:FE:SyDip,15,15,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=750110
Metriocnemus (Inermipupa) carmencitabertarum,Diptera,Chironomidae,BOLD:FE:SyDip,1,1,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=878940
Metriocnemus acutus,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=354579
Metriocnemus albipunctatus,Diptera,Chironomidae,ES,,,,ES,gap,
Metriocnemus albolineatus,Diptera,Chironomidae,BOLD:FE:SyDip,2027,2030,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=68654
Metriocnemus atratulus,Diptera,Chironomidae,FE:SyDip,,,,ITIS,gap,
Metriocnemus atriclava,Diptera,Chironomidae,BOLD:FE:SyDip,33,33,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751587
Metriocnemus beringensis,Diptera,Chironomidae,BOLD:FE:SyDip,7,8,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731408
Metriocnemus brusti,Diptera,Chironomidae,BOLD:FE:SyDip,159,160,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=78799
Metriocnemus cataractarum,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Metriocnemus caudigus,Diptera,Chironomidae,BOLD:FE:SyDip,6,6,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56437
Metriocnemus eurynotus,Diptera,Chironomidae,BOLD:FE:SyDip,375,385,11,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56499
Metriocnemus exilacies,Diptera,Chironomidae,BOLD:FE:SyDip,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751163
Metriocnemus fuscipes,Diptera,Chironomidae,BOLD:FE:SyDip,169,173,7,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56415
Metriocnemus inopinatus,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Metriocnemus intergerivus,Diptera,Chironomidae,BOLD:FE:SyDip,104,106,4,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=734743
Metriocnemus lacteolus,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Metriocnemus longipennis,Diptera,Chironomidae,FE,,,,FE,gap,
Metriocnemus martinii,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Metriocnemus pankratovae,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Metriocnemus picipes,Diptera,Chironomidae,BOLD:FE:SyDip,500,502,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=311343
Metriocnemus terrester,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Metriocnemus tristellus,Diptera,Chironomidae,BOLD:FE:SyDip,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141683
Metriocnemus ursinus,Diptera,Chironomidae,BOLD:FE:SyDip,95,97,4,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=347342
Microchironomus (Cryptochironomus) deribae,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Microchironomus (Cryptochironomus) tener,Diptera,Chironomidae,BOLD:FE:SyDip,138,159,10,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371466
Microchironomus (Microchironomus) lendli,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Micropsectra (Micropsectra) atrofasciata,Diptera,Chironomidae,BOLD:FE:SyDip,250,255,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66114
Micropsectra (Micropsectra) roseiventris,Diptera,Chironomidae,BOLD:FE:SyDip,18,20,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66124
Micropsectra alyssae,Diptera,Chironomidae,ES:SyDip,,,,ES,gap,
Micropsectra andalusiaca,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Micropsectra appendica,Diptera,Chironomidae,BOLD:FE:SyDip,17,19,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66113
Micropsectra apposita,Diptera,Chironomidae,BOLD:FE:SyDip,8,10,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728709
Micropsectra arduinna,Diptera,Chironomidae,ES:SyDip,,,,ES,gap,
Micropsectra aristata,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Micropsectra attenuata,Diptera,Chironomidae,BOLD:FE:SyDip,10,17,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56469
Micropsectra auvergnensis,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1140931
Micropsectra bavarica,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Micropsectra bodanica,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Micropsectra borealis,Diptera,Chironomidae,BOLD:FE:SyDip,4,4,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350955
Micropsectra bumasta,Diptera,Chironomidae,BOLD:FE:SyDip,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=350951
Micropsectra calcifontis,Diptera,Chironomidae,BOLD:FE:SyDip,7,7,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751169
Micropsectra clastrieri,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Micropsectra contracta,Diptera,Chironomidae,BOLD:FE:SyDip,15,16,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66115
Micropsectra ekremi,Diptera,Chironomidae,ES:SyDip,,,,ES,gap,
Micropsectra fallax,Diptera,Chironomidae,FE:SyDip,,,,FE,gap,
Micropsectra freyi,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Micropsectra fusca,Diptera,Chironomidae,BOLD:FE:SyDip,1,1,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1141479
Micropsectra insignilobus,Diptera,Chironomidae,BOLD:FE:SyDip,111,111,6,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66116
Micropsectra junci,Diptera,Chironomidae,BOLD:FE:SyDip,80,83,5,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66117
Micropsectra klinki,Diptera,Chironomidae,BOLD:FE:SyDip,68,71,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=673755
Micropsectra lacustris,Diptera,Chironomidae,BOLD:FE:SyDip,25,29,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=204010
Micropsectra lindebergi,Diptera,Chironomidae,BOLD:FE:SyDip,4,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731441
Micropsectra lindrothi,Diptera,Chironomidae,BOLD:FE:SyDip,52,54,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=95110
Micropsectra logani,Diptera,Chironomidae,BOLD:FE:SyDip,367,371,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66119https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=936648
Micropsectra longicrista,Diptera,Chironomidae,FE:SyDip,,,,,gap,
