species,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Cladopelma subnigrum,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cladopelma virescens,Diptera,Chironomidae,BOLD:FE:SyDip,116,120,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371461
Cladopelma viridulum,Diptera,Chironomidae,BOLD:FE:SyDip,140,142,4,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=149371
Cladotanytarsus (Cladotanytarsus) dispersopilosus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cladotanytarsus (Lenziella) amandus,Diptera,Chironomidae,BOLD:FE:SyDip,208,212,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=399392
Cladotanytarsus (Lenziella) bicornutus,Diptera,Chironomidae,BOLD:FE:SyDip,5,6,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731447https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=781590
Cladotanytarsus atridorsum,Diptera,Chironomidae,BOLD:FE:SyDip,337,347,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66111
Cladotanytarsus conversus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cladotanytarsus cyrylae,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=366774
Cladotanytarsus difficilis,Diptera,Chironomidae,BOLD:FE:SyDip,8,9,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371467
Cladotanytarsus donmcbeani,Diptera,Chironomidae,ES,,,,ES,gap,
Cladotanytarsus egelbeek,Diptera,Chironomidae,BOLD,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728756
Cladotanytarsus gedanicus,Diptera,Chironomidae,BOLD:FE:SyDip,13,13,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=366768
Cladotanytarsus iucundus,Diptera,Chironomidae,BOLD:FE:SyDip,8,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=781588
Cladotanytarsus lepidocalcar,Diptera,Chironomidae,BOLD:FE:SyDip,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728757
Cladotanytarsus mancus,Diptera,Chironomidae,BOLD:FE:SyDip,171,177,12,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371453
Cladotanytarsus matthei,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Cladotanytarsus molestus,Diptera,Chironomidae,BOLD:FE:SyDip,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=939832
Cladotanytarsus nigrovittatus,Diptera,Chironomidae,BOLD:FE:SyDip,23,24,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=727954
Cladotanytarsus pallidus,Diptera,Chironomidae,BOLD:FE:SyDip,674,675,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66112
Cladotanytarsus pseudomancus,Diptera,Chironomidae,FE:SyDip,28,28,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1156088
Cladotanytarsus teres,Diptera,Chironomidae,BOLD:FE:SyDip,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731435
Cladotanytarsus vanderwulpi,Diptera,Chironomidae,BOLD:FE:SyDip,32,36,11,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=358714
Clinotanypus (Clinotanypus) pinguis,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Clinotanypus nervosus,Diptera,Chironomidae,BOLD:FE:SyDip,62,65,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=296252
Clunio adriaticus,Diptera,Chironomidae,FE:WORMS:SyDip,,,,SyDip,gap,
Clunio balticus,Diptera,Chironomidae,FE:WORMS:SyDip,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=237183
Clunio boudouresquei,Diptera,Chironomidae,ES:SyDip,,,,ES,gap,
Clunio marinus,Diptera,Chironomidae,BOLD:FE:WORMS:SyDip,4,85,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=237184
Clunio ponticus,Diptera,Chironomidae,FE:WORMS:SyDip,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=237185
Conchapelopia (Conchapelopia) pallens,Diptera,Chironomidae,BOLD:SyDip,69,70,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=149376
Conchapelopia aagaardi,Diptera,Chironomidae,BOLD:FE:SyDip,58,64,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371369
Conchapelopia abiskoensis,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Conchapelopia flavifrons,Diptera,Chironomidae,FE,,,,ITIS,gap,
Conchapelopia hittmairorum,Diptera,Chironomidae,BOLD:FE:SyDip,7,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380633
Conchapelopia intermedia,Diptera,Chironomidae,BOLD:FE:SyDip,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751600
Conchapelopia melanops,Diptera,Chironomidae,BOLD:FE:SyDip,64,67,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=354580
Conchapelopia pallidula,Diptera,Chironomidae,BOLD:FE,13,13,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=729605
Conchapelopia triannulata,Diptera,Chironomidae,BOLD:FE,1,1,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1141608
Conchapelopia viator,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1141607
Constempellina brevicosta,Diptera,Chironomidae,BOLD:FE:SyDip,20,20,5,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=66147
