species,Phylum,Class,Order,Family,source,specimens barcoded,specimens,public BINs,verified by,status,BOLD taxid,BOLD taxid,BOLD taxid,BOLD taxid,BOLD taxid
Catarhoe mazeli,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,2,2,1,,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=308334">link 308334</a>,
Catarhoe permixtaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,21,26,3,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=90807">link 90807</a>,
Catarhoe putridaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,15,21,1,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=90819">link 90819</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=749695">link 749695</a>,
Catarhoe rubidata,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,27,31,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=149269">link 149269</a>,
Celonoptera mirificaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,11,11,3,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=374397">link 374397</a>,
Cepphis advenaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,33,35,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=180130">link 180130</a>,
Chariaspilates formosaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,11,15,1,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=142094">link 142094</a>,
Charissa assoi,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,7,9,1,,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=176060">link 176060</a>,
Charissa avilarius,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,9,13,2,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=175952">link 175952</a>,
Charissa bellieri,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF:iNat,65,72,5,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=175929">link 175929</a>,
Charissa canariensis,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,6,9,3,FE,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=268934">link 268934</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=806806">link 806806</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=175928">link 175928</a>,
Charissa certhiatus,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,9,15,2,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=175930">link 175930</a>,
Charissa corsica,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,9,9,1,,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=175942">link 175942</a>,
Charissa difficilis,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,2,2,0,,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=481042">link 481042</a>,
Charissa dubitaria,Arthropoda,Insecta,Lepidoptera,Geometridae,BOLD:FE:LF,22,26,2,AH,,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=260315">link 260315</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=519534">link 519534</a>,<a href="https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=175943">link 175943</a>,
