species,Order,Family,source,speciemens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Agonum gerdmuelleri,Coleoptera,Carabidae,FE,,,,,gap,
Agonum gracilipes,Coleoptera,Carabidae,BOLD:FE,5,5,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=577139 
Agonum hypocrita,Coleoptera,Carabidae,BOLD:FE,7,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=383462 
Agonum impressum,Coleoptera,Carabidae,BOLD:FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=772059 
Agonum kretaense,Coleoptera,Carabidae,FE,,,,,gap,
Agonum longicorne,Coleoptera,Carabidae,FE,,,,,gap,
Agonum lugens,Coleoptera,Carabidae,BOLD:FE:iNat,32,38,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=330313 
Agonum marginatum,Coleoptera,Carabidae,BOLD:FE:iNat,37,41,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=310374 
Agonum menetriesii,Coleoptera,Carabidae,FE,,,,FE,gap,
Agonum micans,Coleoptera,Carabidae,BOLD:FE,46,48,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=310118 
Agonum monachum,Coleoptera,Carabidae,BOLD:FE,6,6,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=732734 
Agonum muelleri,Coleoptera,Carabidae,BOLD:FE:iNat,42,58,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=226195 
Agonum munsteri,Coleoptera,Carabidae,BOLD:FE,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=707248 
Agonum nigrum,Coleoptera,Carabidae,BOLD:FE,3,3,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=772050 
Agonum numidicum,Coleoptera,Carabidae,FE,1,1,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1156914 
Agonum permoestum,Coleoptera,Carabidae,BOLD:FE,3,3,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1057173 
Agonum piceum,Coleoptera,Carabidae,BOLD:FE,18,23,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=383467 
Agonum pseudomoestum,Coleoptera,Carabidae,FE,,,,,gap,
Agonum punctulatum,Coleoptera,Carabidae,BOLD,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=398298 
Agonum rugicolle,Coleoptera,Carabidae,FE,,,,FE,gap,
Agonum scitulum,Coleoptera,Carabidae,BOLD:FE,5,12,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=494814 
Agonum sexpunctatum,Coleoptera,Carabidae,BOLD:FE:iNat,37,47,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282656 
Agonum sordidum,Coleoptera,Carabidae,FE,,,,FE,gap,
Agonum temperei,Coleoptera,Carabidae,FE,,,,,gap,
Agonum thoreyi,Coleoptera,Carabidae,BOLD:FE,42,53,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=306991 
Agonum versutum,Coleoptera,Carabidae,BOLD:FE,8,14,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=330299 
Agonum viduum,Coleoptera,Carabidae,BOLD:FE:iNat,41,49,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282657 
Agonum viridicupreum,Coleoptera,Carabidae,BOLD:FE:iNat,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=494817 
Agostenus alutaceus,Coleoptera,Carabidae,FE,,,,FE,gap,
Agostenus costulatus,Coleoptera,Carabidae,FE,,,,FE,gap,
Agostenus quadrisulcatus,Coleoptera,Carabidae,FE,,,,FE,gap,
Agostenus sulcicollis,Coleoptera,Carabidae,FE,,,,FE,gap,
Agostinia gaudini,Coleoptera,Carabidae,BOLD:FE,0,3,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=529250 
Agostinia gineti,Coleoptera,Carabidae,FE,,,,FE,gap,
Agostinia launi,Coleoptera,Carabidae,FE,,,,FE,gap,
