species,Order,Family,source,speciemens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Hypera striata,Coleoptera,Curculionidae,BOLD:FE,5,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=501864 
Hypera suspiciosa,Coleoptera,Curculionidae,BOLD,33,36,6,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=318099 
Hypera taygetana,Coleoptera,Curculionidae,FE,,,,FE,gap,
Hypera temperei,Coleoptera,Curculionidae,FE,,,,,gap,
Hypera transsylvanica,Coleoptera,Curculionidae,FE,,,,FE,gap,
Hypera triangularis,Coleoptera,Curculionidae,FE,,,,FE,gap,
Hypera venusta,Coleoptera,Curculionidae,BOLD:FE,9,12,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=527943 
Hypera viciae,Coleoptera,Curculionidae,BOLD:FE,18,18,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=499631 
Hyperomorphus asperatus,Coleoptera,Curculionidae,FE,,,,,gap,
Hypoborus ficus,Coleoptera,Curculionidae,BOLD:FE,10,17,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=29563 
Hypocryphalus dilutus,Coleoptera,Curculionidae,BOLD,11,11,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=915819 
Hypoglyptus graecus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Hypolixus astrachanicus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Hypolixus nubilosus,Coleoptera,Curculionidae,FE,1,1,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=493278 
Hypolixus semilunatus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Hypothenemus arundinis,Coleoptera,Curculionidae,FE,,,,FE,gap,
Hypothenemus crudiae,Coleoptera,Curculionidae,FE,,,,ITIS,gap,
Hypothenemus eruditus,Coleoptera,Curculionidae,BOLD:FE,12,17,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=139883 
Hypothenemus hampei,Coleoptera,Curculionidae,BOLD:FE,19,83,5,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=475468 
Hypothenemus leprieuri,Coleoptera,Curculionidae,FE,,,,FE,gap,
Hypurus bertrandi,Coleoptera,Curculionidae,FE,,,,FE,gap,
Iberoplinthus casalei,Coleoptera,Curculionidae,FE,,,,,gap,
Iberoplinthus curvirostris,Coleoptera,Curculionidae,FE,,,,,gap,
Iberoplinthus imbricatus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Iberoplinthus kricheldorffi,Coleoptera,Curculionidae,FE,,,,FE,gap,
Iberoplinthus perezi,Coleoptera,Curculionidae,FE,,,,FE,gap,
Iberoplinthus vidanoi,Coleoptera,Curculionidae,FE,,,,,gap,
Ips acuminatus,Coleoptera,Curculionidae,BOLD:FE,60,79,6,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=166529 
Ips amitinus,Coleoptera,Curculionidae,BOLD:FE,2,17,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=166528 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=484679 
Ips cembrae,Coleoptera,Curculionidae,BOLD:FE,7,16,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=174590 
Ips duplicatus,Coleoptera,Curculionidae,BOLD:FE,1,17,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=169755 
Ips mannsfeldi,Coleoptera,Curculionidae,FE,,,,FE,gap,
Ips typographus,Coleoptera,Curculionidae,BOLD:FE:iNat,122,242,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=153308 
Isochnus angustifrons,Coleoptera,Curculionidae,BOLD:FE,3,8,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=502375 
Isochnus flagellum,Coleoptera,Curculionidae,BOLD:FE,5,10,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=487130 
Isochnus foliorum,Coleoptera,Curculionidae,BOLD:FE,0,21,1,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=460611 
Isochnus populicola,Coleoptera,Curculionidae,BOLD,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=732800 
Isochnus sequensi,Coleoptera,Curculionidae,BOLD:FE,841,850,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=596783 
Ita crassirostris,Coleoptera,Curculionidae,FE,,,,,gap,
Kissophagus erinacellus,Coleoptera,Curculionidae,FE,,,,,gap,
Kissophagus hederae,Coleoptera,Curculionidae,BOLD:FE,7,15,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=312156 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1141911 
Kissophagus novaki,Coleoptera,Curculionidae,BOLD:FE,2,2,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=458983 
Kyklioacalles abstersus,Coleoptera,Curculionidae,BOLD,4,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=681479 
Kyklioacalles alcornocalensis,Coleoptera,Curculionidae,BOLD,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=520432 
Kyklioacalles almadensis,Coleoptera,Curculionidae,BOLD,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199829 
Kyklioacalles anthyllis,Coleoptera,Curculionidae,BOLD,6,6,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199860 
Kyklioacalles astragali,Coleoptera,Curculionidae,BOLD:FE,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199861 
Kyklioacalles aubei,Coleoptera,Curculionidae,BOLD,23,24,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=212016 
Kyklioacalles barbarus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Kyklioacalles bupleuri,Coleoptera,Curculionidae,BOLD,5,5,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505147 
Kyklioacalles characivorus,Coleoptera,Curculionidae,BOLD,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199830 
Kyklioacalles erinaceus,Coleoptera,Curculionidae,BOLD:FE,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199820 
Kyklioacalles fausti,Coleoptera,Curculionidae,BOLD:FE,3,3,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505149 
Kyklioacalles fissicollis,Coleoptera,Curculionidae,FE,,,,FE,gap,
Kyklioacalles interpositus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Kyklioacalles navieresi,Coleoptera,Curculionidae,BOLD:FE,18,18,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199865 
Kyklioacalles nevadaensis,Coleoptera,Curculionidae,FE,,,,,gap,
Kyklioacalles oblongus,Coleoptera,Curculionidae,BOLD,2,2,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=915646 
Kyklioacalles olcesei,Coleoptera,Curculionidae,BOLD,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505151 
Kyklioacalles plantapilosus,Coleoptera,Curculionidae,BOLD,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505153 
Kyklioacalles provincialis,Coleoptera,Curculionidae,BOLD:FE,5,5,3,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505154 
Kyklioacalles punctaticollis,Coleoptera,Curculionidae,BOLD:FE,22,22,10,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199827 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505161 
Kyklioacalles reginae,Coleoptera,Curculionidae,BOLD:FE,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505155 
Kyklioacalles reinosae,Coleoptera,Curculionidae,BOLD:FE,11,11,4,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505156 
Kyklioacalles roboris,Coleoptera,Curculionidae,BOLD:FE,27,34,4,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199822 
Kyklioacalles saccoi,Coleoptera,Curculionidae,BOLD:FE,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=520434 
Kyklioacalles solarii,Coleoptera,Curculionidae,BOLD:FE,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505157 
Kyklioacalles suturatus,Coleoptera,Curculionidae,BOLD:FE,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199832 
Kyklioacalles teter,Coleoptera,Curculionidae,BOLD:FE,3,3,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=199831 
Kyklioacalles yestensis,Coleoptera,Curculionidae,BOLD:FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=505159 
Labiaticola atricolor,Coleoptera,Curculionidae,FE,,,,FE,gap,
Labiaticola bohemani,Coleoptera,Curculionidae,FE,,,,FE,gap,
Labiaticola cariniventris,Coleoptera,Curculionidae,FE,,,,FE,gap,
Labiaticola korbi,Coleoptera,Curculionidae,FE,,,,FE,gap,
Labiaticola melaena,Coleoptera,Curculionidae,FE,,,,FE,gap,
Labiaticola ocellata,Coleoptera,Curculionidae,FE,,,,FE,gap,
Labiaticola sibirica,Coleoptera,Curculionidae,FE,,,,FE,gap,
Labiaticola teruelensis,Coleoptera,Curculionidae,FE,,,,,gap,
Lachnaeus crinitus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Lachnaeus horridus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Lachnopus curvipes,Coleoptera,Curculionidae,BOLD,2,2,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1143244 
Laparocerus abditus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus aenescens,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152838 
Laparocerus aethiops,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus alluaudi,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus angustulus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus azoricus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus bellus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus bolivari,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus brunneus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus calcatrix,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus canariensis,Coleoptera,Curculionidae,FE,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=915823 
Laparocerus clavatus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Laparocerus colasi,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus compactus,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152846 
Laparocerus crassifrons,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus crassirostris,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus crassus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus curvipes,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152851 
Laparocerus cymbula,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus dacilae,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus debilis,Coleoptera,Curculionidae,FE,4,4,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152853 
Laparocerus dispar,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus dissimilis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus distortus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus doramasensis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus eliasenae,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus ellipticus,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152854 
Laparocerus escalerai,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus excavatus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus excelsus,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152855 
Laparocerus fernandezi,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152857 
Laparocerus freyi,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=915824 
Laparocerus garretai,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus gomerensis,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152859 
Laparocerus gracilis,Coleoptera,Curculionidae,FE,,,,FE,gap,
Laparocerus grayanus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus grossepunctatus,Coleoptera,Curculionidae,FE,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152873 
Laparocerus hirtus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus inaequalis,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152860 
Laparocerus inconspectus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus inconstans,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus inflatus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Laparocerus instabilis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus laevis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus lamellipes,Coleoptera,Curculionidae,FE,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152863 
Laparocerus lanatus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus lauripotens,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus lepidopterus,Coleoptera,Curculionidae,FE,2,2,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152864 
Laparocerus lindbergi,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus longiclava,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152866 
Laparocerus mateui,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152868 
Laparocerus mendax,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152870 
Laparocerus mendicus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus morio,Coleoptera,Curculionidae,BOLD:FE,2,3,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=892627 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=879677 
Laparocerus navicularis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus nitidirostris,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus noctivagans,Coleoptera,Curculionidae,FE,4,4,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=915825 
Laparocerus obesulus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus obscurus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Laparocerus obsitus,Coleoptera,Curculionidae,FE,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152872 
Laparocerus obtriangularis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus occidentalis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus oromii,Coleoptera,Curculionidae,BOLD,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=520365 
Laparocerus piceus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus propinquus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus puncticollis,Coleoptera,Curculionidae,FE,,,,FE,gap,
Laparocerus rasus,Coleoptera,Curculionidae,FE,2,2,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152875 
Laparocerus rugosicollis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus ruteri,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus sanchezi,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152878 
Laparocerus scapularis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus schaumii,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152880 
Laparocerus sculptus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus seminitens,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus squamosus,Coleoptera,Curculionidae,BOLD:FE,4,6,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=545315 
Laparocerus subnebulosus,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152886 
Laparocerus subopacus,Coleoptera,Curculionidae,FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152887 
Laparocerus sulcirostris,Coleoptera,Curculionidae,FE,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152888 
Laparocerus tenellus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus tessellatus,Coleoptera,Curculionidae,BOLD:FE,0,1,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=879678 
Laparocerus tetricus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus tibialis,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus transversus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus undatus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus undulatus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus uyttenboogaarti,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus ventrosus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus vespertinus,Coleoptera,Curculionidae,FE,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152891 
Laparocerus vestitus,Coleoptera,Curculionidae,FE,2,2,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152892 
Laparocerus vicinus,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus waterhousei,Coleoptera,Curculionidae,FE,,,,,gap,
Laparocerus zarazagai,Coleoptera,Curculionidae,FE,,,,,gap,
Larinomesius curtus,Coleoptera,Curculionidae,BOLD,9,10,3,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=559647 
Larinus adjectus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus adspersus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus aeruginosus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Larinus afer,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus albocinctus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus australis,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus beckeri,Coleoptera,Curculionidae,BOLD:FE,3,12,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=318019 
Larinus brenskei,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus buccinator,Coleoptera,Curculionidae,FE,,,,FE,gap,
Larinus bulgaricus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus canescens,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus carinirostris,Coleoptera,Curculionidae,FE,,,,FE,gap,
Larinus carlinae,Coleoptera,Curculionidae,BOLD:iNat,4,6,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=965029 
Larinus centaurii,Coleoptera,Curculionidae,BOLD:FE,2,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=996929 
Larinus curtus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus cynarae,Coleoptera,Curculionidae,BOLD:FE,0,1,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1023195 
Larinus escorialensis,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus ferrugatus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus flavescens,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus fleischeri,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus grisescens,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus hedenborgi,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus iaceae,Coleoptera,Curculionidae,BOLD:iNat,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=996930 
Larinus idoneus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Larinus immitis,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus inaequalicollis,Coleoptera,Curculionidae,FE,,,,FE,gap,
Larinus jaceae,Coleoptera,Curculionidae,BOLD:FE,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=501876 
Larinus latus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Larinus lederi,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus lethierryi,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus leuzeae,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus lineola,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus maurus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Larinus meridionalis,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus minutus,Coleoptera,Curculionidae,BOLD:FE,141,145,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=139857 
Larinus nanus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus nubeculosus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus obesulus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus obtusus,Coleoptera,Curculionidae,BOLD:FE:iNat,71,75,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=139858 
Larinus onopordi,Coleoptera,Curculionidae,FE,0,1,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=984698 
Larinus ovaliformis,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus planus,Coleoptera,Curculionidae,BOLD:FE,33,47,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=310352 
Larinus pollinis,Coleoptera,Curculionidae,FE,,,,FE,gap,
Larinus rectinasus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus reichei,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus ruber,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus rugulosus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus rusticanus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus schoenherri,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus scolymi,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus serratulae,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus sibiricus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus siculus,Coleoptera,Curculionidae,FE,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1152955 
Larinus sturnus,Coleoptera,Curculionidae,BOLD:FE:iNat,25,31,7,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=286803 
Larinus suborbicularis,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus syriacus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus tauricus,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus turbinatus,Coleoptera,Curculionidae,BOLD:FE:iNat,19,29,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=312305 
Larinus ursus,Coleoptera,Curculionidae,FE,,,,FE,gap,
Larinus volgensis,Coleoptera,Curculionidae,FE,,,,,gap,
Larinus vulpes,Coleoptera,Curculionidae,BOLD:FE,2,2,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=957302 
Lauriacalles acutus,Coleoptera,Curculionidae,BOLD,10,10,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=504955 
Leiosoma apenninicola,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma apionides,Coleoptera,Curculionidae,FE,,,,FE,gap,
Leiosoma bedeli,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma bosnicum,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma concinnum,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma cribrum,Coleoptera,Curculionidae,BOLD:FE,1,2,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=665690 
Leiosoma cyanopterum,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma deflexum,Coleoptera,Curculionidae,BOLD:FE,20,29,4,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=310255 
Leiosoma devillei,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma formaneki,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma kirschi,Coleoptera,Curculionidae,BOLD:FE,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=772400 
Leiosoma lethierryi,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma muscorum,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma nicolasi,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma oblongulum,Coleoptera,Curculionidae,BOLD:FE,1,3,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=665691 
Leiosoma pandellei,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma pseudopyrenaeum,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma pyrenaeum,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma reynosae,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma robustum,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma rufipes,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma scrobifer,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma stierlini,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma subcoriaceum,Coleoptera,Curculionidae,FE,,,,,gap,
Leiosoma troglodytes,Coleoptera,Curculionidae,FE,,,,,gap,
Leipommata calcarata,Coleoptera,Curculionidae,FE,,,,,gap,
Leipommata oromiana,Coleoptera,Curculionidae,FE,,,,,gap,
Lepretius noxius,Coleoptera,Curculionidae,FE,,,,FE,gap,
